rebal_date,eval_year,eval_month,eval_period,n_countries,bm_return,top1_return,top1_country,top1_prob,bot1_return,bot1_country,bot1_prob,top3_return,top3_countries,bot3_return,bot3_countries,top5_return,top5_countries,bot5_return,bot5_countries,top8_return,top8_countries,bot8_return,bot8_countries,top10_return,top10_countries,bot10_return,bot10_countries
2022-12-30,2023,1,2023-01,23,3.151578522474712,4.355195440243409,Hungary,0.9879822134971619,1.5218732479455488,Azerbaijan,0.003947599790990353,4.691571130677338,"Hungary, Malaysia, Mexico",1.954571822857128,"Paraguay, China, Azerbaijan",4.0779910820127,"Hungary, Malaysia, Mexico, Peru, Oman",1.6195297350156501,"Poland, Georgia, Paraguay, China, Azerbaijan",4.0840895155248775,"Hungary, Malaysia, Mexico, Peru, Oman, Brazil, Panama, Romania",1.9553117291140345,"Uruguay, Kazakhstan, India, Poland, Georgia, Paraguay, China, Azerbaijan",4.329737078186861,"Hungary, Malaysia, Mexico, Peru, Oman, Brazil, Panama, Romania, Serbia, Chile",1.8869549310061664,"Indonesia, Turkey, Uruguay, Kazakhstan, India, Poland, Georgia, Paraguay, China, Azerbaijan"
2023-01-31,2023,2,2023-02,23,-2.9153591425521905,-4.384662424118691,Paraguay,0.9924989342689514,-2.3195017236114723,Brazil,0.028652820736169815,-3.5382537980897784,"Paraguay, Turkey, Colombia",-2.404895677008545,"SouthAfrica, China, Brazil",-2.8916603147730457,"Paraguay, Turkey, Colombia, India, Azerbaijan",-2.585065467935441,"Poland, Chile, SouthAfrica, China, Brazil",-2.7339515979330624,"Paraguay, Turkey, Colombia, India, Azerbaijan, Peru, Oman, Hungary",-2.1270882487011753,"Georgia, Kazakhstan, Malaysia, Poland, Chile, SouthAfrica, China, Brazil",-2.992016667752,"Paraguay, Turkey, Colombia, India, Azerbaijan, Peru, Oman, Hungary, Mexico, Uruguay",-2.3263396029814247,"Indonesia, Philippines, Georgia, Kazakhstan, Malaysia, Poland, Chile, SouthAfrica, China, Brazil"
2023-02-28,2023,3,2023-03,23,3.1243771861960936,3.6712181189264115,Peru,0.9012951254844666,1.9037353725151362,Hungary,0.023293696343898773,2.645163633148795,"Peru, Azerbaijan, Mexico",2.6222062388233804,"Uruguay, Romania, Hungary",3.3929801242314723,"Peru, Azerbaijan, Mexico, Malaysia, Paraguay",2.355253009678142,"Serbia, Oman, Uruguay, Romania, Hungary",3.0119712556145872,"Peru, Azerbaijan, Mexico, Malaysia, Paraguay, Georgia, Colombia, China",2.178731053443314,"Indonesia, Panama, Kazakhstan, Serbia, Oman, Uruguay, Romania, Hungary",2.9800557254043847,"Peru, Azerbaijan, Mexico, Malaysia, Paraguay, Georgia, Colombia, China, SouthAfrica, Philippines",2.3276674675898312,"Turkey, Poland, Indonesia, Panama, Kazakhstan, Serbia, Oman, Uruguay, Romania, Hungary"
2023-03-31,2023,4,2023-04,23,-0.029103758643332863,0.5443505056775599,Georgia,0.9798682332038879,0.72135149103707,Indonesia,0.00919506698846817,-0.04971549273471432,"Georgia, Turkey, SouthAfrica",0.03934222024467582,"Poland, Malaysia, Indonesia",0.08953196598077362,"Georgia, Turkey, SouthAfrica, Chile, Peru",-0.029931955054840476,"China, India, Poland, Malaysia, Indonesia",0.3935465720142445,"Georgia, Turkey, SouthAfrica, Chile, Peru, Panama, Kazakhstan, Philippines",0.49281148812500425,"Hungary, Uruguay, Serbia, China, India, Poland, Malaysia, Indonesia",0.36698517246793516,"Georgia, Turkey, SouthAfrica, Chile, Peru, Panama, Kazakhstan, Philippines, Brazil, Oman",-0.11344479722448235,"Mexico, Colombia, Hungary, Uruguay, Serbia, China, India, Poland, Malaysia, Indonesia"
2023-04-28,2023,5,2023-05,23,-0.7349314496234814,-0.9944714230337603,Oman,0.9940136075019836,-0.7508398106272574,Philippines,0.12591204047203064,-1.2573921020997563,"Oman, India, SouthAfrica",-0.6484694139936242,"Brazil, Uruguay, Philippines",-1.4116867312943948,"Oman, India, SouthAfrica, Serbia, Azerbaijan",-1.1145901879324291,"Poland, Paraguay, Brazil, Uruguay, Philippines",-0.9249278463098517,"Oman, India, SouthAfrica, Serbia, Azerbaijan, Indonesia, Georgia, China",-0.6878430022071307,"Kazakhstan, Panama, Malaysia, Poland, Paraguay, Brazil, Uruguay, Philippines",-1.1249268101452004,"Oman, India, SouthAfrica, Serbia, Azerbaijan, Indonesia, Georgia, China, Turkey, Hungary",-0.6630855952654313,"Mexico, Peru, Kazakhstan, Panama, Malaysia, Poland, Paraguay, Brazil, Uruguay, Philippines"
2023-05-31,2023,6,2023-06,23,1.1340524180052716,4.058602297623826,SouthAfrica,0.9856153726577759,0.6601430842912759,Uruguay,0.0035989934112876654,2.1480958245487494,"SouthAfrica, Hungary, Oman",0.6523023600400949,"Chile, Panama, Uruguay",1.5888749960326587,"SouthAfrica, Hungary, Oman, Brazil, Georgia",0.4562930818365629,"Malaysia, Indonesia, Chile, Panama, Uruguay",1.3744885668018834,"SouthAfrica, Hungary, Oman, Brazil, Georgia, Serbia, Mexico, India",0.4881958457501445,"Romania, China, Kazakhstan, Malaysia, Indonesia, Chile, Panama, Uruguay",1.2781384457277336,"SouthAfrica, Hungary, Oman, Brazil, Georgia, Serbia, Mexico, India, Paraguay, Azerbaijan",0.39779000338938886,"Philippines, Poland, Romania, China, Kazakhstan, Malaysia, Indonesia, Chile, Panama, Uruguay"
2023-06-30,2023,7,2023-07,23,0.6832331886456159,1.3247319578770123,Brazil,0.9936624765396118,1.2700416066923736,Serbia,0.06738635152578354,0.5027904510384188,"Brazil, Kazakhstan, Uruguay",0.6438035560474287,"Azerbaijan, China, Serbia",0.9331571783484938,"Brazil, Kazakhstan, Uruguay, Mexico, Colombia",0.4119754089440719,"Romania, Malaysia, Azerbaijan, China, Serbia",1.203785760811539,"Brazil, Kazakhstan, Uruguay, Mexico, Colombia, Turkey, India, Oman",0.30283833013993455,"Chile, Paraguay, Poland, Romania, Malaysia, Azerbaijan, China, Serbia",1.0535007405898933,"Brazil, Kazakhstan, Uruguay, Mexico, Colombia, Turkey, India, Oman, Georgia, Philippines",0.15702381931370302,"Indonesia, Peru, Chile, Paraguay, Poland, Romania, Malaysia, Azerbaijan, China, Serbia"
2023-07-31,2023,8,2023-08,23,-1.0123825118244867,-1.3462232099130444,Philippines,0.9526150226593018,0.5747456619817903,Turkey,0.010567991062998772,-1.7324330659406304,"Philippines, Chile, Paraguay",-0.26705183137072747,"India, Mexico, Turkey",-1.19594472638886,"Philippines, Chile, Paraguay, China, Peru",-0.5484421972205555,"Romania, Azerbaijan, India, Mexico, Turkey",-0.9981975562375136,"Philippines, Chile, Paraguay, China, Peru, Georgia, Colombia, Brazil",-0.8705905137782993,"Poland, Uruguay, SouthAfrica, Romania, Azerbaijan, India, Mexico, Turkey",-1.0345288589077462,"Philippines, Chile, Paraguay, China, Peru, Georgia, Colombia, Brazil, Kazakhstan, Malaysia",-0.9384425286398134,"Hungary, Indonesia, Poland, Uruguay, SouthAfrica, Romania, Azerbaijan, India, Mexico, Turkey"
2023-08-31,2023,9,2023-09,23,-3.587563895972529,-0.07137002061183839,Georgia,0.9961121678352356,-3.9750782352777847,Paraguay,0.018503937870264053,-2.0885661639888213,"Georgia, Serbia, Azerbaijan",-4.664610039771773,"Romania, Panama, Paraguay",-2.1981319299069986,"Georgia, Serbia, Azerbaijan, Kazakhstan, Indonesia",-3.8726293573351094,"Turkey, Malaysia, Romania, Panama, Paraguay",-3.444963484946115,"Georgia, Serbia, Azerbaijan, Kazakhstan, Indonesia, Uruguay, Mexico, Peru",-3.657274498199872,"SouthAfrica, Hungary, Oman, Turkey, Malaysia, Romania, Panama, Paraguay",-3.354884246564062,"Georgia, Serbia, Azerbaijan, Kazakhstan, Indonesia, Uruguay, Mexico, Peru, Brazil, Philippines",-3.4335167503909716,"Poland, China, SouthAfrica, Hungary, Oman, Turkey, Malaysia, Romania, Panama, Paraguay"
2023-09-29,2023,10,2023-10,23,-0.39674937464451143,1.3066276104693575,Turkey,0.9446974396705627,-1.4506429983352276,Indonesia,0.005393410567194223,0.5346404628825444,"Turkey, China, Oman",-1.0008032029884095,"Romania, Paraguay, Indonesia",0.2073333339815897,"Turkey, China, Oman, Kazakhstan, Brazil",-0.9400705529193765,"Philippines, Uruguay, Romania, Paraguay, Indonesia",0.29721572825020387,"Turkey, China, Oman, Kazakhstan, Brazil, Georgia, India, SouthAfrica",-1.532826134503304,"Panama, Peru, Chile, Philippines, Uruguay, Romania, Paraguay, Indonesia",0.13179232051092948,"Turkey, China, Oman, Kazakhstan, Brazil, Georgia, India, SouthAfrica, Malaysia, Azerbaijan",-0.9174157846513366,"Colombia, Serbia, Panama, Peru, Chile, Philippines, Uruguay, Romania, Paraguay, Indonesia"
